p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
3.41928039829776e-170	4.38380545916525	0.982	0.032	5.8059381163096e-166	0	LYZ
1.34264751677011e-169	3.97586934636379	0.996	0.045	2.27981548347564e-165	0	CST3
1.29593027895674e-166	3.36833372785252	0.942	0.008	2.20048961366855e-162	0	FCN1
1.06675004669649e-164	5.93483486941747	0.986	0.064	1.81134157929063e-160	0	S100A9
1.04371629925156e-160	3.43846944294075	0.935	0.024	1.77223027612915e-156	0	VCAN
3.05598208046012e-158	6.69238787250145	0.964	0.067	5.18905757262129e-154	0	S100A8
1.77620004411582e-152	2.73876302641629	0.878	0.005	3.01598767490866e-148	0	MNDA
2.77510653892521e-146	3.10033741691499	0.986	0.101	4.71213090309501e-142	0	TYROBP
2.63738185532392e-142	2.15126604998601	0.827	0.002	4.47827439034002e-138	0	SERPINA1
2.83604121664941e-142	2.41838603566117	0.896	0.054	4.81559798587069e-138	0	SPI1
4.98186799929247e-142	2.52013126834378	0.953	0.129	8.45921186279861e-138	0	TYMP
7.06441574219574e-141	3.04049610250816	0.824	0.003	1.19953779302484e-136	0	S100A12
3.68552315046081e-137	2.03296739122349	0.813	0.005	6.25801830948246e-133	0	CSF3R
3.32611927361762e-130	1.69394483550444	0.777	0.003	5.64775052660271e-126	0	CSTA
1.1936134990768e-129	1.96507840198374	0.781	0.007	2.02675572143241e-125	0	TNFAIP2
2.80912425445048e-129	1.84340068478144	0.777	0.007	4.76989298405692e-125	0	CD36
2.10515055273512e-128	2.19527059490742	0.867	0.081	3.57454563854424e-124	0	LST1
3.23073953907393e-128	2.39215138350653	0.921	0.097	5.48579573734753e-124	0	CEBPD
2.50158819212559e-127	2.55368733702803	0.968	0.203	4.24769675022925e-123	0	LGALS1
2.82964726529651e-127	1.59179362614546	0.77	0.008	4.80474105647347e-123	0	LILRB2
3.05353097080258e-126	2.67677081224746	0.978	0.326	5.18489558842278e-122	0	CTSS
9.86540320458282e-126	2.02873952804586	0.759	0.007	1.67514546413816e-121	0	CD14
1.97659008819013e-125	2.73845521230669	0.964	0.262	3.35624996974684e-121	0	AIF1
5.20887043856037e-125	1.72107463399112	0.759	0.005	8.84466200467551e-121	0	MS4A6A
1.42564832943522e-124	2.9560233355621	0.996	0.449	2.420750863381e-120	0	GPX1
7.71326076056299e-122	1.58833248433491	0.755	0.013	1.3097116771436e-117	0	NCF2
3.84135435832089e-121	2.09453336674375	0.921	0.096	6.52261970042888e-117	0	FCER1G
4.95091142986411e-121	2.8752670878666	1	0.993	8.40664760790926e-117	0	FTL
6.98370650945562e-120	2.4062721158825	0.996	0.565	1.18583336530556e-115	0	PSAP
2.21238131694918e-118	3.48829514447508	0.975	0.434	3.75662347617971e-114	0	FOS
2.62225787796756e-113	2.84824418939346	0.996	0.879	4.45259387678891e-109	0	S100A6
