genes	avg_log2FC	p_val	adj.P.Val	pct.1	pct.2	tested_cluster	control_cluster	min.pct
TCF7	1,42188905020327	0	0	0,927	0,296	0	All	0,75
LEF1	1,34740785673772	0	0	0,929	0,284	0	All	0,75
CCR7	1,1858928614791	0	0	0,906	0,319	0	All	0,75
CD3E	1,09447592276799	0	0	0,975	0,373	0	All	0,75
SARAF	1,03829981137466	0	0	0,942	0,416	0	All	0,75
C12orf57	1,00574585223127	0	0	0,841	0,347	0	All	0,75
NOSIP	0,90714742977204	0	0	0,757	0,297	0	All	0,75
RPS27	0,895377263962504	0	0	0,978	0,485	0	All	0,75
RPS3A	0,880317796206515	0	0	0,973	0,429	0	All	0,75
LINC00861	0,87657114047353	0	0	0,8	0,32	0	All	0,75
RPS12	0,873118476428634	0	0	0,992	0,43	0	All	0,75
RPL30	0,871013616107323	0	0	0,991	0,444	0	All	0,75
CD3D	0,870726253280934	0	0	0,771	0,304	0	All	0,75
SELL	0,870584564003173	0	0	0,843	0,404	0	All	0,75
PIK3IP1	0,8588156291442	0	0	0,783	0,315	0	All	0,75
RPS15A	0,852679790178601	0	0	0,989	0,443	0	All	0,75
RPS25	0,843680709081812	0	0	0,977	0,459	0	All	0,75
RPS27A	0,841133127281741	0	0	0,977	0,447	0	All	0,75
RPL32	0,831183747530379	0	0	0,99	0,435	0	All	0,75
EEF1B2	0,826222927493939	0	0	0,944	0,437	0	All	0,75
IL7R	0,826028970069532	0	0	0,838	0,328	0	All	0,75
GIMAP7	0,804330148988075	0	0	0,871	0,488	0	All	0,75
RPS5	0,801517393751352	0	0	0,971	0,475	0	All	0,75
RPS3	0,797231153394882	0	0	0,987	0,472	0	All	0,75
NPM1	0,792460178910651	0	0	0,858	0,398	0	All	0,75
RPL3	0,755258675083959	0	0	0,956	0,483	0	All	0,75
CD3G	0,754672822973856	0	0	0,824	0,331	0	All	0,75
RPL10	0,740810891902503	0	0	0,974	0,464	0	All	0,75
CD27	0,737144472920818	0	0	0,771	0,291	0	All	0,75
RPS29	0,713929712794026	0	0	0,94	0,479	0	All	0,75
RPS6	0,686388474069623	0	0	0,925	0,447	0	All	0,75
RPS18	0,676260546377052	0	0	0,948	0,463	0	All	0,75
RPL13	0,663907116933285	0	0	0,973	0,467	0	All	0,75
RPS8	0,655763706103387	0	0	0,935	0,439	0	All	0,75
RPL10A	0,639262581393653	0	0	0,92	0,464	0	All	0,75
TPT1	0,567957685817092	0	0	0,83	0,452	0	All	0,75
RPL41	0,503125537210732	0	0	0,936	0,472	0	All	0,75
ETS1	0,864039981855112	6,18852197238757e-303	1,85655659171627e-299	0,754	0,357	0	All	0,75
TLE5	0,705013543080309	7,88854063751866e-303	2,3665621912556e-299	0,875	0,452	0	All	0,75
LCK	0,673437263396738	1,18056740470166e-299	3,54170221410498e-296	0,868	0,403	0	All	0,75
IFITM1	0,71331397699073	3,96604803543436e-299	1,18981441063031e-295	0,92	0,403	0	All	0,75
CD247	0,517133146918106	4,67590370898354e-269	1,40277111269506e-265	0,781	0,336	0	All	0,75
RPSA	0,642530661428649	7,49076688196105e-266	2,24723006458832e-262	0,939	0,499	0	All	0,75
LTB	0,594236493460068	4,68379125808194e-246	1,40513737742458e-242	0,903	0,438	0	All	0,75
EVL	0,628003683998193	4,89423956706129e-243	1,46827187011839e-239	0,76	0,397	0	All	0,75
MALAT1	0,589178030127895	1,63830120624604e-239	4,91490361873811e-236	0,802	0,47	0	All	0,75
RGS10	0,552692571082682	1,58136708760836e-228	4,74410126282507e-225	0,81	0,47	0	All	0,75
LBH	0,619981594622933	1,23171564628211e-226	3,69514693884634e-223	0,775	0,395	0	All	0,75
GYPC	0,632021246656401	4,95745232930701e-221	1,4872356987921e-217	0,795	0,459	0	All	0,75
FCMR	0,564308567980946	1,10397345936052e-216	3,31192037808156e-213	0,823	0,437	0	All	0,75
HSPA8	0,552133854062482	4,28069173737238e-209	1,28420752121171e-205	0,817	0,457	0	All	0,75
KLF2	0,508213847748024	5,02716109440323e-176	1,50814832832097e-172	0,804	0,504	0	All	0,75
S100A9	3,00013879520915	0	0	0,995	0,164	1	All	0,75
