genes;avg_log2FC;p_val;adj.P.Val;pct.1;pct.2;tested_cluster;control_cluster;min.pct
LEF1;1,97576712270288;0;0;0,941;0,245;0;All_Others;0,75
CD3E;1,5647015245003;0;0;0,997;0,349;0;All_Others;0,75
TCF7;1,73858694765365;0;0;0,974;0,33;0;All_Others;0,75
CCR7;1,89372202845111;0;0;0,932;0,294;0;All_Others;0,75
CD3D;1,54686473995059;0;0;0,948;0,314;0;All_Others;0,75
IL7R;0,935743434109058;0;0;0,942;0,335;0;All_Others;0,75
CD7;1,20957998113947;0;0;0,917;0,338;0;All_Others;0,75
CD27;1,65615695740025;0;0;0,831;0,259;0;All_Others;0,75
CD3G;1,45505746951393;0;0;0,86;0,293;0;All_Others;0,75
IFITM1;0,949099292191268;0;0;0,992;0,433;0;All_Others;0,75
LCK;1,27860061004589;0;0;0,904;0,363;0;All_Others;0,75
LDLRAP1;1,87533792511911;0;0;0,76;0,234;0;All_Others;0,75
CAMK4;1,44098803063779;0;0;0,751;0,231;0;All_Others;0,75
PIK3IP1;1,57273016532334;0;0;0,793;0,284;0;All_Others;0,75
NOSIP;1,32024868793333;0;0;0,915;0,485;0;All_Others;0,75
NPM1;1,1878849150123;0;0;0,999;0,792;0;All_Others;0,75
SARAF;1,17469347889885;0;0;0,999;0,809;0;All_Others;0,75
RPSA;0,928725309368012;0;0;1;0,872;0;All_Others;0,75
EEF1B2;1,10756381802377;0;0;1;0,898;0;All_Others;0,75
RPS5;1,07400068665197;0;0;1;0,912;0;All_Others;0,75
RPL22;0,805544305375612;0;0;1;0,926;0;All_Others;0,75
RPL38;0,754541740612667;0;0;0,999;0,928;0;All_Others;0,75
RPL10A;0,88008035767877;0;0;1;0,933;0;All_Others;0,75
RPS29;0,887867876233277;0;0;1;0,936;0;All_Others;0,75
RPL4;0,730052748173497;0;0;1;0,938;0;All_Others;0,75
RPL3;0,993644127824765;0;0;1;0,94;0;All_Others;0,75
RPL24;0,676362036730223;0;0;1;0,954;0;All_Others;0,75
RPS25;1,03474510311375;0;0;1;0,955;0;All_Others;0,75
RPS16;0,772079880357347;0;0;1;0,956;0;All_Others;0,75
RPS27;0,965686584934809;0;0;1;0,963;0;All_Others;0,75
RPL5;0,88901406641035;0;0;1;0,965;0;All_Others;0,75
RPS6;0,924337999329025;0;0;1;0,965;0;All_Others;0,75
RPL14;0,940450774952034;0;0;1;0,967;0;All_Others;0,75
NACA;0,661561540513373;0;0;1;0,968;0;All_Others;0,75
