genes;avg_log2FC;p_val;adj.P.Val;pct.1;pct.2;tested_cluster;control_cluster;min.pct
FCN1;2,13642471562074;0;0;0,992;0,227;0;All_Others;0,75
VCAN;2,00951121775775;0;0;0,983;0,226;0;All_Others;0,75
LYZ;2,01953720834989;0;0;0,999;0,265;0;All_Others;0,75
MNDA;1,78797317685213;0;0;0,963;0,23;0;All_Others;0,75
CST3;1,90535709267249;0;0;0,994;0,268;0;All_Others;0,75
S100A9;1,53786246257056;0;0;0,993;0,269;0;All_Others;0,75
TNFAIP2;2,67124844665685;0;0;0,904;0,184;0;All_Others;0,75
S100A8;0,920437406045863;0;0;0,995;0,275;0;All_Others;0,75
SERPINA1;2,12718848862865;0;0;0,907;0,203;0;All_Others;0,75
CSF3R;2,29204360727188;0;0;0,898;0,195;0;All_Others;0,75
CD14;2,18106319343257;0;0;0,876;0,185;0;All_Others;0,75
MS4A6A;2,33433133636862;0;0;0,871;0,182;0;All_Others;0,75
TYROBP;1,7902381261396;0;0;0,992;0,306;0;All_Others;0,75
SPI1;2,11279376042533;0;0;0,954;0,274;0;All_Others;0,75
LST1;1,86084952742378;0;0;0,942;0,268;0;All_Others;0,75
LGALS2;3,02851131608922;0;0;0,797;0,128;0;All_Others;0,75
S100A12;0,838184145753779;0;0;0,875;0,207;0;All_Others;0,75
CEBPD;1,7734208420648;0;0;0,959;0,301;0;All_Others;0,75
CSTA;1,83145227989659;0;0;0,858;0,203;0;All_Others;0,75
TYMP;2,14417164360899;0;0;0,963;0,308;0;All_Others;0,75
LILRB2;2,29569070749433;0;0;0,834;0,181;0;All_Others;0,75
CD36;2,10583801261637;0;0;0,849;0,196;0;All_Others;0,75
CYBB;1,92843782299558;0;0;0,924;0,282;0;All_Others;0,75
DUSP6;2,56948156071295;0;0;0,805;0,167;0;All_Others;0,75
FCER1G;1,38706178591786;0;0;0,951;0,313;0;All_Others;0,75
NCF2;2,16991288722458;0;0;0,827;0,191;0;All_Others;0,75
CFD;1,91769291176398;0;0;0,835;0,2;0;All_Others;0,75
CD68;1,95751482346899;0;0;0,831;0,204;0;All_Others;0,75
LRP1;2,5696458832604;0;0;0,786;0,16;0;All_Others;0,75
MPEG1;2,06871097573707;0;0;0,826;0,205;0;All_Others;0,75
FGR;1,93211621550079;0;0;0,899;0,281;0;All_Others;0,75
HCK;2,10889430193314;0;0;0,799;0,187;0;All_Others;0,75
LGALS3;1,97579558085546;0;0;0,844;0,24;0;All_Others;0,75
LGALS1;1,77700980475627;0;0;0,973;0,376;0;All_Others;0,75
FGL2;2,22575779353978;0;0;0,788;0,196;0;All_Others;0,75
GRN;1,88385442865386;0;0;0,88;0,29;0;All_Others;0,75
FPR1;2,06251095813131;0;0;0,757;0,172;0;All_Others;0,75
CFP;2,09378037520046;0;0;0,817;0,238;0;All_Others;0,75
ZEB2;2,00751719482971;0;0;0,837;0,272;0;All_Others;0,75
AIF1;1,86894492309403;0;0;0,987;0,425;0;All_Others;0,75
MYO1F;1,83593383396018;0;0;0,863;0,305;0;All_Others;0,75
