RNA_feature;ADT_feature;nb_cells;cor;pval;significant_cor;nb_cells_0filter;cor_0filter;pval_0filter;significant_cor_0filter;nb_cells_qmin_qmax;cor_qmin_qmax;pval_qmin_qmax;significant_cor_qmin_qmax
CD3G;CD3;9685;0.673;0;0.673;4388;0.0112;0.459;NA;9685;0.473;0;0.473
CD19;CD19;9685;0.393;0;0.393;591;0.0588;0.154;NA;9685;0.328;7.44e-158;0.328
PTPRC;CD45RA;9685;0.178;4.95e-70;0.178;9330;0.181;2.26e-69;0.181;9685;0.212;1.25e-64;0.212
CD4;CD4;9685;0.395;0;0.395;3506;-0.0705;2.91e-05;-0.0705;9685;0.0191;0.129;NA
CD8A;CD8a;9685;0.6;0;0.6;1497;0.288;6.28e-30;0.288;9685;0.598;0;0.598
CD14;CD14;9685;0.712;0;0.712;2630;0.176;7.75e-20;0.176;9685;0.735;0;0.735
FCGR3A;CD16;9685;0.378;0;0.378;601;0.62;5.08e-65;0.62;9685;0.129;1.07e-24;0.129
NCAM1;CD56;9685;0.174;8.56e-67;0.174;181;0.359;6.83e-07;0.359;9685;0.063;5.64e-07;0.063
IL2RA;CD25;9685;0.0993;1.2e-22;0.0993;191;0.0629;0.387;NA;9685;0.0614;1.08e-06;0.0614
PTPRC;CD45RO;9685;-0.25;2.05e-137;-0.25;9314;-0.244;1.33e-126;-0.244;9685;-0.229;1.74e-75;-0.229
PDCD1;PD-1;9685;0.109;9.19e-27;0.109;74;0.449;5.96e-05;0.449;9685;0.0918;2.86e-13;0.0918
TIGIT;TIGIT;9685;0.17;1.99e-63;0.17;438;0.147;0.00203;0.147;9685;0.138;3.83e-28;0.138
IGHG1;IgG1;9685;-0.0443;1.27e-05;-0.0443;64;-0.0701;0.582;NA;9685;-0.0623;7.64e-07;-0.0623
IGHG2;IgG2a;9685;0.00519;0.609;NA;92;0.039;0.712;NA;9685;-0.0159;0.208;NA
IGHG2;IgG2b;9685;-0.0194;0.0565;NA;92;-0.0357;0.736;NA;9685;-0.0339;0.00718;-0.0339
IL7R;CD127;9685;0.712;0;0.712;5255;0.534;0;0.534;9685;0.558;0;0.558
FUT4;CD15;9685;0.0629;5.91e-10;0.0629;351;0.235;8.29e-06;0.235;9685;0.0815;9.48e-11;0.0815
CCR7;CCR7;9685;-0.187;1.25e-76;-0.187;4518;-0.0786;1.21e-07;-0.0786;9685;-0.209;4.59e-63;-0.209
HLA-DRA;HLA-DR;9685;0.8;0;0.8;3877;0.578;0;0.578;9685;0.777;0;0.777
