genes	avg_log2FC	p_val	adj.P.Val	pct.1	pct.2	tested_cluster	control_cluster	min.pct
S100A8	6,59183405943678	0	0	0,999	0,136	0	All	0,75
S100A9	5,66441783286212	0	0	1	0,116	0	All	0,75
LYZ	3,89650968933608	0	0	0,999	0,089	0	All	0,75
VCAN	3,65981682913373	0	0	0,988	0,044	0	All	0,75
FOS	3,64892203858885	0	0	0,998	0,436	0	All	0,75
S100A12	3,37185826426772	0	0	0,928	0,015	0	All	0,75
FCN1	3,31666838360609	0	0	0,996	0,043	0	All	0,75
TYROBP	2,94141352122659	0	0	1	0,139	0	All	0,75
MNDA	2,88719754226546	0	0	0,971	0,045	0	All	0,75
S100A6	2,85797498769813	0	0	1	0,889	0	All	0,75
CST3	2,74385990908	0	0	1	0,095	0	All	0,75
FTL	2,61009551709626	0	0	1	0,994	0	All	0,75
CTSS	2,55692008808852	0	0	0,997	0,372	0	All	0,75
CEBPD	2,50396889293921	0	0	0,968	0,123	0	All	0,75
NEAT1	2,45885063800356	0	0	0,995	0,482	0	All	0,75
AIF1	2,43449525750369	0	0	0,994	0,298	0	All	0,75
GPX1	2,3792698806235	0	0	0,998	0,489	0	All	0,75
S100A4	2,37185047285821	0	0	1	0,738	0	All	0,75
LGALS1	2,32489053593123	0	0	0,991	0,248	0	All	0,75
TYMP	2,26965640796603	0	0	0,952	0,151	0	All	0,75
AL512646.1	2,20955970347703	0	0	1	1	0	All	0,75
S100A11	2,17496790774464	0	0	0,996	0,53	0	All	0,75
PSAP	2,1621634258079	0	0	0,998	0,602	0	All	0,75
DUSP1	2,14588995036113	0	0	0,982	0,454	0	All	0,75
CD14	2,14165589150869	0	0	0,865	0,014	0	All	0,75
CD36	2,10127320058611	0	0	0,851	0,026	0	All	0,75
SPI1	2,07964871503995	0	0	0,935	0,098	0	All	0,75
SERPINA1	2,04079779361703	0	0	0,9	0,026	0	All	0,75
GSTP1	1,99434099016294	0	0	0,982	0,485	0	All	0,75
TNFAIP2	1,9921350747596	0	0	0,843	0,027	0	All	0,75
CSF3R	1,98079892180458	0	0	0,881	0,017	0	All	0,75
TSPO	1,90604039370494	0	0	0,988	0,578	0	All	0,75
LST1	1,9031244437172	0	0	0,939	0,094	0	All	0,75
CSTA	1,89358753327483	0	0	0,868	0,026	0	All	0,75
MS4A6A	1,88288792445215	0	0	0,839	0,021	0	All	0,75
