genes	avg_log2FC	p_val	adj.P.Val	pct.1	pct.2	tested_cluster	control_cluster	min.pct
S100A8	6,60363073117073	0	0	0,999	0,14	0	All	0,75
S100A9	5,68047483011303	0	0	1	0,117	0	All	0,75
LYZ	3,95486546629679	0	0	0,999	0,091	0	All	0,75
VCAN	3,67782399491925	0	0	0,989	0,043	0	All	0,75
FOS	3,66810793951131	0	0	0,999	0,434	0	All	0,75
S100A12	3,38841273454084	0	0	0,93	0,015	0	All	0,75
FCN1	3,34482812314171	0	0	0,997	0,043	0	All	0,75
TYROBP	2,95980067140692	0	0	1	0,139	0	All	0,75
MNDA	2,90821985103101	0	0	0,978	0,045	0	All	0,75
S100A6	2,87153774868757	0	0	1	0,89	0	All	0,75
CST3	2,80978497246879	0	0	1	0,095	0	All	0,75
FTL	2,61216010070746	0	0	1	0,994	0	All	0,75
CTSS	2,5547282910978	0	0	0,997	0,373	0	All	0,75
CEBPD	2,51559941429588	0	0	0,969	0,123	0	All	0,75
NEAT1	2,44753664561409	0	0	0,994	0,476	0	All	0,75
GPX1	2,43922287536999	0	0	0,997	0,49	0	All	0,75
AIF1	2,43655490820652	0	0	0,995	0,299	0	All	0,75
S100A4	2,38901003367104	0	0	1	0,739	0	All	0,75
LGALS1	2,34001640442935	0	0	0,991	0,249	0	All	0,75
TYMP	2,26283297649742	0	0	0,952	0,149	0	All	0,75
S100A11	2,18278434059634	0	0	0,996	0,527	0	All	0,75
AL512646.1	2,17700219451401	0	0	1	1	0	All	0,75
PSAP	2,17664031851411	0	0	0,997	0,603	0	All	0,75
DUSP1	2,14733597236749	0	0	0,981	0,45	0	All	0,75
CD14	2,1427277074057	0	0	0,868	0,014	0	All	0,75
CD36	2,12991259673892	0	0	0,856	0,025	0	All	0,75
SPI1	2,07521754253151	0	0	0,936	0,099	0	All	0,75
SERPINA1	2,05292619581436	0	0	0,904	0,025	0	All	0,75
GSTP1	2,01879350275013	0	0	0,982	0,485	0	All	0,75
TNFAIP2	1,99533213506876	0	0	0,845	0,026	0	All	0,75
CSF3R	1,97013095520977	0	0	0,881	0,016	0	All	0,75
CSTA	1,91557535886824	0	0	0,875	0,024	0	All	0,75
TSPO	1,91531348077372	0	0	0,988	0,571	0	All	0,75
MS4A6A	1,91351786181182	0	0	0,844	0,019	0	All	0,75
LST1	1,91337373925867	0	0	0,944	0,092	0	All	0,75
CYBB	1,88400635348647	0	0	0,893	0,115	0	All	0,75
FCER1G	1,85008861561816	0	0	0,974	0,143	0	All	0,75
AHNAK	1,80702858339554	0	0	0,972	0,431	0	All	0,75
CFD	1,77963842632084	0	0	0,84	0,033	0	All	0,75
COTL1	1,75562585422782	0	0	0,997	0,656	0	All	0,75
GRN	1,75445817780954	0	0	0,86	0,133	0	All	0,75
APLP2	1,70782262380435	0	0	0,867	0,164	0	All	0,75
S100A10	1,6963036935899	0	0	0,997	0,788	0	All	0,75
FTH1	1,68201797823692	0	0	1	0,998	0	All	0,75
BRI3	1,6769333621134	0	0	0,927	0,322	0	All	0,75
LGALS3	1,67116633415555	0	0	0,844	0,09	0	All	0,75
AC020916.1	1,66827415841473	0	0	0,785	0,07	0	All	0,75
SAT1	1,65137237096027	0	0	0,952	0,433	0	All	0,75
STXBP2	1,63932682256997	0	0	0,799	0,1	0	All	0,75
VIM	1,62891695634989	0	0	0,995	0,762	0	All	0,75
NCF2	1,58747207126798	0	0	0,799	0,038	0	All	0,75
TALDO1	1,57175348933541	0	0	0,936	0,429	0	All	0,75
FPR1	1,5652373255602	0	0	0,759	0,017	0	All	0,75
FOSB	1,52548753753341	0	0	0,801	0,208	0	All	0,75
FGR	1,51139290048116	0	0	0,839	0,128	0	All	0,75
TKT	1,49932054290872	0	0	0,946	0,506	0	All	0,75
CTSD	1,49807833284957	0	0	0,761	0,043	0	All	0,75
BLVRB	1,49133548270497	0	0	0,789	0,09	0	All	0,75
ZEB2	1,47299777830882	0	0	0,796	0,129	0	All	0,75
LILRB2	1,44687315514295	0	0	0,773	0,03	0	All	0,75
MPEG1	1,41964509584225	0	0	0,776	0,055	0	All	0,75
PYCARD	1,38051735146254	0	0	0,868	0,25	0	All	0,75
GABARAP	1,36232852515975	0	0	0,991	0,828	0	All	0,75
RNF130	1,35149629791802	0	0	0,822	0,17	0	All	0,75
ANXA2	1,34739140712998	0	0	0,851	0,246	0	All	0,75
GAPDH	1,34664823399792	0	0	0,999	0,931	0	All	0,75
BTBD9	1,34049405228643	0	0	0,947	0,574	0	All	0,75
ANXA5	1,3387700506436	0	0	0,827	0,204	0	All	0,75
MYO1F	1,33368369701698	0	0	0,811	0,169	0	All	0,75
AP1S2	1,31260625544361	0	0	0,806	0,226	0	All	0,75
PGD	1,29773642302536	0	0	0,763	0,163	0	All	0,75
SH3BGRL3	1,28560188591934	0	0	1	0,968	0	All	0,75
FCGRT	1,27155533074988	0	0	0,792	0,205	0	All	0,75
JAML	1,26501404624054	0	0	0,792	0,189	0	All	0,75
KLF6	1,24462861356699	0	0	0,942	0,57	0	All	0,75
CTSB	1,23720043387326	0	0	0,785	0,234	0	All	0,75
OAZ1	1,21927102720509	0	0	0,999	0,939	0	All	0,75
ITGB2	1,17612027642649	0	0	0,988	0,751	0	All	0,75
CTSZ	1,15569993275994	0	0	0,78	0,213	0	All	0,75
FGF23	1,12581605649593	0	0	0,926	0,576	0	All	0,75
IL17RA	1,12283797224694	0	0	0,772	0,266	0	All	0,75
RAC1	1,10422582780258	0	0	0,908	0,511	0	All	0,75
C4orf48	1,09874659710959	0	0	0,754	0,203	0	All	0,75
CYBA	1,08169184283964	0	0	1	0,902	0	All	0,75
EFHD2	1,06259369034701	0	0	0,861	0,279	0	All	0,75
SRGN	1,04810840730022	0	0	0,949	0,546	0	All	0,75
CAST	1,04713939245725	0	0	0,891	0,49	0	All	0,75
LINC00844	1,04622586784152	0	0	0,808	0,362	0	All	0,75
AP2S1	1,03601334882884	0	0	0,8	0,357	0	All	0,75
ATP6V0B	1,03168957321128	0	0	0,801	0,357	0	All	0,75
SERPINB1	1,03128006139221	0	0	0,817	0,449	0	All	0,75
ELOB	0,986602830581106	0	0	0,974	0,801	0	All	0,75
LAMTOR4	0,968894811385043	0	0	0,912	0,597	0	All	0,75
CARD16	0,963887240141857	0	0	0,769	0,324	0	All	0,75
LTA4H	0,963336058751256	0	0	0,767	0,404	0	All	0,75
ZFP36	0,955538828899315	0	0	0,939	0,767	0	All	0,75
TLN1	0,954672784503918	0	0	0,858	0,433	0	All	0,75
NPC2	0,954353960825488	0	0	0,759	0,314	0	All	0,75
H3-3A	0,953741880788187	0	0	0,986	0,86	0	All	0,75
FLNA	0,94710023279424	0	0	0,892	0,485	0	All	0,75
ATP5F1E	0,946510766488067	0	0	1	0,995	0	All	0,75
IQGAP1	0,941803771534385	0	0	0,827	0,414	0	All	0,75
GNAI2	0,930209204691866	0	0	0,971	0,788	0	All	0,75
VSIR	0,926531027056545	0	0	0,866	0,509	0	All	0,75
LSP1	0,91714978984602	0	0	0,991	0,87	0	All	0,75
PKM	0,8973283548383	0	0	0,932	0,687	0	All	0,75
ALDOA	0,878052212399574	0	0	0,872	0,602	0	All	0,75
SERF2	0,869431660515428	0	0	0,999	0,99	0	All	0,75
MYL6	0,852005381195759	0	0	0,998	0,948	0	All	0,75
LRRFIP1	0,83607529070452	0	0	0,907	0,611	0	All	0,75
CNPY3	0,8125494629634	0	0	0,763	0,394	0	All	0,75
C1orf162	0,792977431453526	0	0	0,783	0,425	0	All	0,75
GRB2	0,791920756040629	0	0	0,795	0,464	0	All	0,75
VAMP8	0,783894419810137	0	0	0,864	0,596	0	All	0,75
MT-ND1	0,77890302033819	0	0	1	0,996	0	All	0,75
LCP1	0,774575779576761	0	0	0,956	0,739	0	All	0,75
ATP5MPL	0,772407634898673	0	0	0,859	0,616	0	All	0,75
COX8A	0,763202286227641	0	0	0,881	0,616	0	All	0,75
MT-ND4	0,723317335484232	0	0	1	0,993	0	All	0,75
MT-ND2	0,643579557245125	0	0	1	0,982	0	All	0,75
CLIC1	0,701220922290992	8,98859091516869e-299	2,46557048803077e-294	0,932	0,609	0	All	0,75
MCL1	0,823504678241323	1,39747491145678e-286	3,83327368212596e-282	0,834	0,548	0	All	0,75
GNG5	0,737594582605341	1,50282948320679e-286	4,12226127243623e-282	0,815	0,541	0	All	0,75
ARPC3	0,654246144527601	6,57329216456399e-283	1,8030540407399e-278	0,975	0,902	0	All	0,75
ANXA1	0,733280438528939	1,12087075858617e-272	3,07454849080187e-268	0,882	0,52	0	All	0,75
ARPC1B	0,692746712697993	2,61439027608542e-272	7,17127252730231e-268	0,778	0,467	0	All	0,75
CALM2	0,706713197334384	3,0248584543886e-262	8,29718674038793e-258	0,938	0,813	0	All	0,75
TPM3	0,632157568649858	3,52623648955274e-262	9,67246669084316e-258	0,964	0,844	0	All	0,75
UQCR11	0,640058082936188	4,03714871087798e-262	1,10738989139383e-257	0,94	0,807	0	All	0,75
ZYX	0,734102514290647	4,99207165300294e-262	1,36932525441871e-257	0,823	0,527	0	All	0,75
TPI1	0,692517713787898	2,62060236723259e-261	7,188312293319e-257	0,855	0,607	0	All	0,75
FKBP1A	0,67164894683729	4,39621360689105e-258	1,20588139237021e-253	0,794	0,528	0	All	0,75
RHOG	0,703652058418377	8,10291096707059e-255	2,22262847826746e-250	0,761	0,477	0	All	0,75
ARRB2	0,694679813902666	4,56548954926512e-241	1,25231378336342e-236	0,759	0,469	0	All	0,75
CSTB	0,678247264778908	1,31737692741923e-235	3,61356491191096e-231	0,765	0,486	0	All	0,75
GNB2	0,642316079416784	5,43677544523682e-231	1,49130750462846e-226	0,82	0,585	0	All	0,75
IER2	0,788637841193518	1,66325561156025e-230	4,56231014250976e-226	0,923	0,74	0	All	0,75
SERP1	0,605583205483736	1,62435093344855e-229	4,45559461044937e-225	0,945	0,811	0	All	0,75
SAMHD1	0,637379271394902	5,90529566947012e-229	1,61982260213565e-224	0,904	0,622	0	All	0,75
ENO1	0,616970783435376	3,59387168220775e-216	9,85799002429587e-212	0,887	0,699	0	All	0,75
AC010970.1	0,73284319722624	3,31625240325376e-213	9,09648034212506e-209	1	1	0	All	0,75
RHOA	0,557436805297293	1,35596324651837e-212	3,71940718519989e-208	0,972	0,913	0	All	0,75
SRRM2	0,647146124883005	4,57550844870367e-210	1,25506196747942e-205	0,864	0,623	0	All	0,75
ARPC5	0,558411200363544	4,41807736651309e-190	1,21187862163454e-185	0,897	0,734	0	All	0,75
POLR2L	0,554878074188673	1,54567433394351e-178	4,23978469800706e-174	0,821	0,622	0	All	0,75
ATP5F1A	0,523388211760907	2,65826269134322e-173	7,29161456235445e-169	0,911	0,767	0	All	0,75
EMP3	0,516984155357819	2,9119821137463e-173	7,98756693800611e-169	0,966	0,855	0	All	0,75
UQCRQ	0,560656255248351	6,24210953969325e-173	1,71221064673786e-168	0,762	0,546	0	All	0,75
COX6B1	0,501767203886357	4,77677579790601e-171	1,31026960136562e-166	0,939	0,829	0	All	0,75
COX5B	0,524094545946568	5,70420917934856e-161	1,56466457789531e-156	0,892	0,763	0	All	0,75
ACTR2	0,54337561374102	1,56134162150883e-157	4,28276006779873e-153	0,785	0,578	0	All	0,75
MSN	0,503074105448328	1,15743055547586e-151	3,17483201367029e-147	0,858	0,648	0	All	0,75
ATP5MF	0,503990227656808	1,53447589074706e-146	4,20906736831919e-142	0,808	0,653	0	All	0,75
AD000090.1	1,05472564344644	1,36985435836475e-103	3,75751050499451e-99	1	1	0	All	0,75
JUN	0,527417610194493	6,78784400485534e-101	1,86190561053182e-96	0,909	0,784	0	All	0,75
H1-10	0,535038390754868	6,58981567398191e-34	1,80758643937324e-29	0,819	0,735	0	All	0,75
TCF7	1,1388122530529	0	0	0,973	0,455	1	All	0,75
LEF1	1,09616801705851	0	0	0,933	0,361	1	All	0,75
RPS3A	0,732790020368001	0	0	1	0,999	1	All	0,75
RPL30	0,732598035819527	0	0	1	0,999	1	All	0,75
RPS15A	0,722238294647465	0	0	1	1	1	All	0,75
RPS27A	0,709347634564545	0	0	1	0,999	1	All	0,75
RPL32	0,701966548626276	0	0	1	0,999	1	All	0,75
RPS14	0,664768741994907	0	0	1	0,999	1	All	0,75
RPL35A	0,622340941685847	0	0	1	1	1	All	0,75
RPS13	0,600466407120906	0	0	1	0,999	1	All	0,75
RPL11	0,618976844414341	1,79026588581273e-301	4,91069932478431e-297	1	0,999	1	All	0,75
RPL34	0,609821759218325	6,04734261469074e-292	1,65878607920967e-287	1	0,999	1	All	0,75
RPL19	0,613271177757071	6,09123572227382e-289	1,67082595861971e-284	1	1	1	All	0,75
CCR7	0,956818352223943	9,95385131065247e-289	2,73034141451197e-284	0,911	0,388	1	All	0,75
SARAF	0,852820823427498	1,19336805283096e-272	3,27340856891532e-268	0,998	0,813	1	All	0,75
RPS12	0,739255318573188	1,41623521293756e-269	3,88473318908773e-265	1	0,999	1	All	0,75
RPS27	0,760784904464425	6,33863041656739e-266	1,73868632326444e-261	1	0,998	1	All	0,75
RPL14	0,661206494393657	6,3462995558678e-260	1,74078996817454e-255	1	0,997	1	All	0,75
RPS25	0,722893815566509	1,0148518064276e-259	2,7837385050309e-255	1	0,997	1	All	0,75
RPL39	0,522629421355892	6,32246109587216e-257	1,73425107859773e-252	1	0,999	1	All	0,75
RPL10	0,642407403833053	2,71586927668259e-255	7,44962942594035e-251	1	1	1	All	0,75
RPS28	0,514242470235769	7,0487412911486e-252	1,93346973616206e-247	1	0,999	1	All	0,75
RPS3	0,685075148181928	3,08209006258991e-250	8,45417304168412e-246	1	0,999	1	All	0,75
RPS23	0,605669036507006	2,96794510203374e-244	8,14107341487854e-240	1	0,999	1	All	0,75
RPL5	0,647254287107392	4,67496546057674e-241	1,2823430258362e-236	1	0,997	1	All	0,75
CD3E	0,920491476592281	5,65156883499428e-241	1,55022533143893e-236	0,992	0,511	1	All	0,75
RPL37	0,539839838153098	3,08088312735181e-239	8,45086241832601e-235	1	0,999	1	All	0,75
C12orf57	0,854506148651089	4,74793138785039e-227	1,30235757968736e-222	0,94	0,572	1	All	0,75
RPS4X	0,597406980669756	1,42709843600363e-221	3,91453100995797e-217	1	0,999	1	All	0,75
RPS21	0,575002380259413	2,00141463854112e-218	5,48988035351829e-214	1	0,999	1	All	0,75
RPS8	0,548340531954681	2,49101438613047e-217	6,83285246115588e-213	1	0,999	1	All	0,75
RPL13	0,579935400876541	4,89566561581659e-214	1,34288107841849e-209	1	0,999	1	All	0,75
RPL18	0,521275912082603	1,61858072871752e-209	4,43976693887217e-205	1	0,999	1	All	0,75
EEF1B2	0,688672218343012	1,87568773494267e-209	5,14501145694774e-205	1	0,971	1	All	0,75
TOMM7	0,606439430161959	4,842721607329e-206	1,32835853689035e-201	0,999	0,968	1	All	0,75
RPS16	0,539200437423424	3,37411987542871e-204	9,25521081830094e-200	1	0,997	1	All	0,75
RPS29	0,6240735749364	4,51161065802482e-202	1,23753480349621e-197	1	0,991	1	All	0,75
RPS6	0,600555468263691	1,73885434493829e-201	4,76967746816572e-197	1	0,999	1	All	0,75
RPS5	0,682449228120464	5,50800413885363e-199	1,51084553528755e-194	1	0,984	1	All	0,75
RPL29	0,503748022499688	2,20793679970023e-197	6,05637064157774e-193	1	0,999	1	All	0,75
RPL36	0,528686766190392	3,38356289543506e-197	9,28111302217836e-193	1	0,999	1	All	0,75
CD3D	0,699381234670809	6,51311782579453e-195	1,78654821961544e-190	0,923	0,439	1	All	0,75
NPM1	0,664414327159649	7,88882198703023e-195	2,16390387104239e-190	0,994	0,88	1	All	0,75
RPL3	0,645521280854934	1,47703175377143e-191	4,05149810059503e-187	1	0,994	1	All	0,75
PIK3IP1	0,718917960122952	6,14226730804391e-186	1,68482392259644e-181	0,78	0,37	1	All	0,75
RPL22	0,564343102000915	7,29465219990736e-186	2,00092309843459e-181	1	0,983	1	All	0,75
CD3G	0,671317714594592	2,02041549793848e-181	5,54199971084525e-177	0,828	0,385	1	All	0,75
RPL10A	0,565930023095202	1,02294843329552e-176	2,80594755252962e-172	1	0,995	1	All	0,75
NOSIP	0,73079251493867	8,4880800568798e-174	2,32828035960213e-169	0,885	0,543	1	All	0,75
TPT1	0,510323432163942	1,85338491100171e-172	5,08383481087769e-168	1	1	1	All	0,75
SELL	0,729035048541707	4,92852536193986e-172	1,3518945067801e-167	0,98	0,729	1	All	0,75
IL7R	0,711976887202407	5,259079545111e-172	1,44256551922395e-167	0,931	0,472	1	All	0,75
LINC00861	0,69016491575412	9,50080313585338e-171	2,60607030016458e-166	0,793	0,378	1	All	0,75
RPL18A	0,503410291509953	4,25616982965954e-170	1,16746738427561e-165	1	0,999	1	All	0,75
RPS18	0,583871728709105	6,07248730023868e-168	1,66568326645547e-163	1	0,999	1	All	0,75
GIMAP7	0,698736459337663	8,84193631427756e-166	2,42534313100633e-161	0,968	0,725	1	All	0,75
CD27	0,610433050436437	9,03282812252996e-166	2,47770475400997e-161	0,761	0,346	1	All	0,75
SNHG29	0,613607571418286	2,48558203101203e-165	6,81795151106601e-161	0,981	0,86	1	All	0,75
RPL38	0,505272688443795	1,23149383505652e-161	3,37798758956004e-157	1	0,99	1	All	0,75
LCK	0,605811366475038	6,25792295240925e-158	1,71654826584586e-153	0,879	0,459	1	All	0,75
IFITM1	0,630451101664906	1,17822160147481e-155	3,23186185284541e-151	0,991	0,586	1	All	0,75
TLE5	0,619621696335678	1,95725578427094e-153	5,36875261625518e-149	0,989	0,78	1	All	0,75
RPL4	0,518903928490615	1,00807139066384e-152	2,76513982459092e-148	1	0,994	1	All	0,75
CD7	0,569363438222534	7,75207707551503e-148	2,12639474181377e-143	0,865	0,445	1	All	0,75
ETS1	0,73225505225419	2,39633380927625e-146	6,57314363884475e-142	0,88	0,539	1	All	0,75
LEPROTL1	0,599549739467513	1,70325758842473e-137	4,67203556504903e-133	0,805	0,471	1	All	0,75
