genes	avg_log2FC	p_val	adj.P.Val	pct.1	pct.2	tested_cluster	control_cluster	min.pct
RPL30	0.916508905160442	8.12479701874232e-74	1.37959053378245e-69	1	1	0	All	0.75
RPS14	0.872106380074094	1.54261075374736e-71	2.61935305986301e-67	1	0.998	0	All	0.75
RPS15A	0.919787852083529	3.12110760111916e-70	5.29964070670034e-66	1	0.998	0	All	0.75
RPL32	0.897483269401748	8.26611796979938e-70	1.40358683127194e-65	1	1	0	All	0.75
RPS27	1.01449364815204	1.35926612570412e-69	2.3080338814456e-65	1	0.997	0	All	0.75
RPS3A	0.915744210277118	3.95309967442229e-69	6.71236324716905e-65	1	0.998	0	All	0.75
LEF1	1.29790808847987	9.39445446762252e-69	1.5951783686023e-64	0.929	0.274	0	All	0.75
TCF7	1.41638327606605	2.64537156504439e-68	4.49184091744538e-64	0.967	0.427	0	All	0.75
RPL35A	0.779272397622583	3.38257222845832e-66	5.74360764392222e-62	1	1	0	All	0.75
RPL11	0.787900807767228	2.23654331596214e-65	3.79765055050371e-61	1	1	0	All	0.75
RPL34	0.76974477978954	4.69854182536976e-65	7.97812401947786e-61	1	1	0	All	0.75
RPL37	0.76087868719379	6.93431116973862e-63	1.17744603662162e-58	1	0.998	0	All	0.75
RPS13	0.722706735534583	3.40612366327961e-62	5.78359798024877e-58	1	1	0	All	0.75
SARAF	1.11343990649039	1.87199549915601e-61	3.1786483575669e-57	0.996	0.752	0	All	0.75
RPS12	0.93253147826556	3.39714911856737e-60	5.7683592033274e-56	1	0.998	0	All	0.75
RPS25	0.9162139349689	7.24870404583648e-60	1.23082994698303e-55	1	1	0	All	0.75
RPS27A	0.844925901489768	7.39019973882438e-60	1.25485591565238e-55	1	0.998	0	All	0.75
RPL19	0.749720080929993	4.70328557413832e-58	7.98617890488686e-54	1	0.998	0	All	0.75
RPS28	0.659901472743307	1.28579975728477e-57	2.18328798786953e-53	1	1	0	All	0.75
RPL39	0.64836632222947	5.7165635552705e-56	9.70672491684931e-52	1	1	0	All	0.75
RPS23	0.771151514262614	1.85111326241891e-55	3.14319031958731e-51	1	0.998	0	All	0.75
CCR7	1.21768446625414	3.68075649340642e-55	6.24992452580411e-51	0.879	0.323	0	All	0.75
RPS8	0.744284330056074	1.07126527806778e-54	1.81900844215909e-50	1	0.998	0	All	0.75
RPL5	0.81329728097723	8.24968916644111e-54	1.4007972204617e-49	1	0.997	0	All	0.75
RPS3	0.849793142137504	1.15500370971449e-53	1.9611962990952e-49	1	0.998	0	All	0.75
RPS21	0.758499774354768	1.60382238129281e-53	2.72329040343518e-49	1	0.998	0	All	0.75
RPL13	0.771070087906606	5.06089800387924e-53	8.59340481058695e-49	1	0.998	0	All	0.75
RPL10	0.817219217945278	1.78004376410024e-52	3.02251431144221e-48	1	1	0	All	0.75
CAMK4	1.0236708667424	2.76306921517759e-52	4.69169152737154e-48	0.778	0.24	0	All	0.75
EEF1B2	0.918119691774617	7.20705675431486e-52	1.22375823688266e-47	1	0.964	0	All	0.75
RPL14	0.804109883105523	4.10477646848116e-51	6.969910443481e-47	1	0.997	0	All	0.75
