genes;avg_log2FC;p_val;adj.P.Val;pct.1;pct.2;tested_cluster;control_cluster;min.pct
LYZ;12,4386464163147;2,55226392324456e-168;3,48843433029067e-164;0,996;0,007;0;All_Others;0,75
FCN1;9,99034908119053;2,0051921913487e-162;2,7406966871354e-158;0,971;0,007;0;All_Others;0,75
S100A9;10,4797149183428;3,53302657723368e-161;4,82894072576299e-157;0,982;0,026;0;All_Others;0,75
S100A8;11,0688629606984;7,85814091607276e-159;1,07405070040883e-154;0,971;0,024;0;All_Others;0,75
CST3;6,33120019382371;5,28890172049758e-158;7,22887087157609e-154;0,993;0,044;0;All_Others;0,75
VCAN;8,2546332345341;6,98612808844209e-155;9,54863987128265e-151;0,953;0,022;0;All_Others;0,75
MNDA;8,13836118643556;6,21779799621404e-152;8,49848630122535e-148;0,931;0,011;0;All_Others;0,75
SPI1;5,7896969255098;1,78532168015278e-144;2,44017767243283e-140;0,949;0,068;0;All_Others;0,75
TYROBP;4,33857543756967;1,16816868467169e-142;1,59665295820927e-138;0,993;0,09;0;All_Others;0,75
SERPINA1;11,9648174411456;2,5235685800354e-140;3,44921353519239e-136;0,863;0;0;All_Others;0,75
CSF3R;7,0845017211176;1,06119008650457e-138;1,45043461023445e-134;0,874;0,009;0;All_Others;0,75
LST1;5,79843566721835;1,34946310701059e-138;1,84444617466208e-134;0,931;0,075;0;All_Others;0,75
TYMP;5,2509159504216;2,94464025979899e-138;4,02473430709325e-134;0,964;0,129;0;All_Others;0,75
S100A12;10,6429098314309;9,96031962010402e-138;1,36137648567582e-133;0,856;0,004;0;All_Others;0,75
TNFAIP2;8,07295370084058;1,10000059593621e-134;1,50348081452561e-130;0,848;0,007;0;All_Others;0,75
AIF1;4,5933411837384;7,66028707924895e-132;1,04700803799175e-127;0,986;0,232;0;All_Others;0,75
CSTA;9,74050872092693;3,32627249234384e-129;4,54634924253555e-125;0,812;0,002;0;All_Others;0,75
MS4A6A;6,33030866353688;3,04239587702274e-128;4,15834668471468e-124;0,827;0,007;0;All_Others;0,75
CD14;9,52220376147568;6,31402285515629e-128;8,63000643842762e-124;0,809;0,004;0;All_Others;0,75
LGALS1;4,33541069974395;5,8243544391575e-127;7,96072764744047e-123;0,96;0,178;0;All_Others;0,75
LILRB2;7,07399231246392;9,78410165469443e-127;1,33729101416363e-122;0,823;0,017;0;All_Others;0,75
CEBPD;4,34090963364249;3,74580627060021e-126;5,11976801065637e-122;0,942;0,101;0;All_Others;0,75
CTSS;4,25071568742411;8,06048549321955e-126;1,10170715721325e-121;0,986;0,314;0;All_Others;0,75
FOS;4,81100762083077;6,06939332622756e-124;8,29564679828783e-120;0,989;0,377;0;All_Others;0,75
NCF2;7,43712033744118;6,8457020204298e-124;9,35670552152345e-120;0,801;0,011;0;All_Others;0,75
CYBB;4,36823840200937;3,97284612977744e-120;5,4300860901798e-116;0,903;0,094;0;All_Others;0,75
FPR1;11,0272893730538;3,02648656470896e-118;4,1366018366442e-114;0,755;0;0;All_Others;0,75
CD36;5,54598887715843;1,15203489053636e-117;1,57460128838509e-113;0,787;0,015;0;All_Others;0,75
CFD;6,72286055165541;1,22904275065444e-117;1,67985563159449e-113;0,791;0,024;0;All_Others;0,75
HCK;5,92577651183433;1,70961028768503e-117;2,3366953412079e-113;0,798;0,024;0;All_Others;0,75
LRP1;7,47992733873944;3,49362449089096e-117;4,77508595414976e-113;0,762;0,006;0;All_Others;0,75
