sc5p_v2_hs_PBMC_1k_5gex_GE
Kallisto_Bustools_alignment.Total_reads;79556908
Kallisto_Bustools_alignment.Pseudo_aligned_reads;51243276
Kallisto_Bustools_alignment.Pseudo_aligned_reads_percent;64.4
Kallisto_Bustools_alignment.Pseudo_aligned_reads_to_unique_target_sequence;8225400
Kallisto_Bustools_alignment.Pseudo_aligned_reads_to_unique_target_sequence_percent;10.3
Droplet_Quality.captured_droplet;101449
Droplet_Quality.total_number_UMI;5401121
Droplet_Quality.sequencing_saturation;89.46
Droplet_Quality.estimated_cells;954
Droplet_Quality.estimated_UMI;4974207
Droplet_Quality.fraction_read_in_cells;0.92
Cells_Quality.mito_summary.Median;3.67
Cells_Quality.ribo_summary.Median;27.83
Cells_Quality.stress_summary.Median;2.71
Cells_Quality.filter_cells_genes;931
Cells_Quality.filter_cells_genes_pct;97.59
Cells_Quality.filter_cells_counts;896
Cells_Quality.filter_cells_counts_pct;93.92
Cells_Quality.genes_per_cell_summary.Median;1871.5
Cells_Quality.UMI_per_cell_summary.Median;5238
After_QC_cells_filtering.estim_cells;883
After_QC_cells_filtering.estim_cells_G1;552
After_QC_cells_filtering.estim_cells_G1_pct;62.51
After_QC_cells_filtering.estim_cells_G2M;63
After_QC_cells_filtering.estim_cells_G2M_pct;7.13
After_QC_cells_filtering.estim_cells_S;268
After_QC_cells_filtering.estim_cells_S_pct;30.35
After_QC_cells_filtering.Genes_covered;13668
After_QC_cells_feature_filtering.estim_doublets;62
Final_Cells_Quality.mito_summary.Median;3.58
Final_Cells_Quality.ribo_summary.Median;28.72
Final_Cells_Quality.stress_summary.Median;2.75
Final_Cells_Quality.genes_per_cell_summary.Median;1874
Final_Cells_Quality.UMI_per_cell_summary.Median;5240
Final_Cells_Quality.nb_genes;13668
Final_Cells_Quality.nb_cells;821
QC_genomic_core_facility.nb_reads_per_cells_CellRanger_like;83392.99
QC_genomic_core_facility.nb_reads_per_cells_final;96902.45
